folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
097v	p097v_1	Vernis de mastic sec en demye heure	Vernis de mastic sec en demye heure	Mastic varnish dry in a half hour	varnish					pulces	enteste;bout du doigt;doigt			Vernis de mastic;mastic;tourmentine;huile de tourmentine;eau de vye;vernis;tormentine;huile;mastic subtillem pulverise;cendres;ordure;festus;eau;mastic pulverise;aspic;huile daspic	demye heure;℥;demye ℥;troisiesme partye	festus;aspic	Italiens				escuelle vernissee;tamis;costeau;mortier;tamis fort subtil;bout du doigt;doigt	enteste			
097v	p097v_2	Travailler daprest	Travailler d’aprest	Working on glass	painting;medicine						halene								ouvriers						
098r	p098r_1	Vernis pour les luts	Vernis pour les luts	Varnish for lutes	varnish					dragon				Vernis;tormentine;huile de tormentine ou daspic;ambre pulverise;mastic;sang de dragon;terra merita		aspic									
098r	p098r_2	Bords de Jardin	Bords de jardin	Borders of a garden	cultivation;household and daily life								Jardin	fer	long	rosmarin					rateau;cordeau;tranche;picquet de fer				
098r	p098r_3	Sarrurier	Sarrurier	Locksmith	metal process;varnish					lesard				estamer;vinaigre;linge;rousine;vernis;estaim pur & fin;fer;estain;estoupes;estame;estamees;estamure faycte de foeille;estamure;sel armoniac	pauses	linge			Sarrurier;plombeurs		liment;linge;estamiere;teste du clou;fer;petit baston entourne destoupes			estamiere	
098v	p098v_1	Petis chiens	Petis chiens	Small dogs	animal husbandry					chiens															
098v	p098v_2	Artichauts sales	Artichauts salés	Salted artichokes	cultivation									saulmure;huile;vinaigre;oeuf;fruits	tout lan	Artichauts					barricot				
098v	p098v_3	Abres	Abres	Trees	cultivation																				
098v	p098v_4	Oyseaulx	Oyseaulx	Birds	animal husbandry					Oyseaulx;lievre				duvet;peau de lievre							broche				
098v	p098v_5	Fonte	Fonte	Founding	casting			continued			doigt			potee;terre bruslee;terre bourre bolvene;pierre;paille;terre;huilee							pierre;paille;broisse;doigt				
099r	p098v_5				casting				continues					terre;sable mouille ou broye avecq eau;eau;sable;letton de chandelier;limaille;potin;letton;cuivre;metaulx alies;fer;charbon;charbons;briques;Sable blanc maigre;porphire;vinaigre;eau sel;sel;matiere de poelonne;sable blanc;soufre;plombe;sel armoniac	heures				verriers	sent le soufre	chassis;crusol;fourneau;briques;porphire;moule				
099r	p099r_3	Anses de cloches	Anses de cloches	Bell handles	casting									soulder											
099v	p099v_1	Coigniers	Coigniers	Quince trees	cultivation											Coigniers									
099v	p099v_2	Canons	Canons	Cannons	arms and armor									metal;huile							foreter;foret;mole;vibrequin				Canons;canon
099v	p099v_3	Cloches	Cloches	Bells	casting																				
099v	p099v_4	Dorer ta moleures de tableaux sans or	Dorer ta moleures de tableaux sans or	Gilding your moldings for panels without gold	painting									or;orpiment en foeille;orpiment;metaulx broyes;cristallin broye;pierre de touche											
099v	p099v_5	Orenge dorpiment	Orenge d’orpiment	Orpiment orange	painting									orpiment;arsenic											
099v	p099v_6	Vernis	Vernis	Varnish	varnish									Vernis;mastic;huile de tourmentine claire & blanche;eau de vye;cendres	onces						vaisseau				
100r	p100r_1	Or couleur	Or couleur	Gold color	painting								au soleil;au feu;temps nest serain & sec;temps est relent & humide	or sur mat;toile;tableau a huile;huile de noix;plomb;ceruse;massicot;mine;verdet;orpiment;or		noix									
100r	p100r_2	Pourtraire au naturel	Pourtraire au naturel	Portraying from nature	painting															observer					
100r	p100r_3	Pierreries	Pierreries	Gemstones	stones									Pierreries;verre espes;mastique;bois;verre					parfumeurs		piler;mortier de verre espes;mortier de bois;pilon;Mortier de verre;table de verre				
100r	p100r_4	Le salpestre vitrifie	Le salpestre vitrifié	Vitrified saltpeter	stones									salpestre;caillous;verre;caillou blanc calcine;grandes verrieres	aultant de caillou blanc calcine						tuile ou palle chaulde;petit fourneau				
100r	p100r_5	Vitres que le soleil ne passera point	Vitres que le soleil ne passera point	Windows that the sun will not pass	glass process;practical optics						mains		soleil;a lair ou lieu humide	salpestre susdict calcine;salpestre;sel alchali							charbons allumes				
100v	p100v_1	Pierrerie	Pierrerie	Gemstones	stones		CONTAINS FIGURE						rivieres;sablon;chemins	Pierrerie;caillous blancs qui se trouvent par les rivieres & parmy le sablon & les chemins qui sont aulcunement transparents;eau;vinaigre;cuivre;caillou;bon minium non sophistique de brique;bronze;sel de verre;suin de verre;sel alchali;esmerauldes;sable;sel;minium;sels;Esmeraulde	℥;gros;heure & demye				commun;verriers;apotiquaires;vulgaire		four a vent;pile;mortier tout pur de cuivre;pilon de pur cuivre;mortier de bronze;chaulderon de pur cuivre;creusets;fornaise				
100v	p100v_2	Pour ruby prens de lor en foeille	Pour ruby prens de l’or en foeille	For ruby take some gold leaf	stones			continued						ruby;or en foeille;rubis;esmerauldes;caillou blanc calcine;verre;dorent;or;caillous;salpestre	de deulx tuiles;℥;un grain;le poix dun grain	peschier			painctres		four;tuiles;mortier de verre;pilon				
101r	p100v_2				stones		CONTAINS FIGURE		continues					Minium;minium seul vitrifie;or;antimoine	℥;jour;grains						pilles;crusol;tuile;grille;fourneau;carreau arrondy espes;four;charbon;tuiles				
101r	p101r_1	Topasse	Topasse	Topaz	stones									Topasse;pierreries;caillous calcines;minium;cuivre;esmeraulde;fer;topasse;ambre;ruby;or en foeille;pierre ponce;pierre a foeu;emaulx;caillous;vitre de couleur;esmaulx;tartre un peu brusle;arene	doze;un poix de caillous calcines sur trois de minium;heure & demye						pilant;mortier de cuivre;mortier de fer;pilons;mortiers;pile				
101r	p101r_2	Sel a fayre fondre	Sel à fayre fondre	Salt for melting	metal process;casting			continued						Sel;salpestre;sel commun;cuivre fondu;mabre;metal	aultant						four a vent;mabre;crusol			decrepiter	
101v	p101r_2				metal process;casting				continues					mabre;albastre							crusol;mabre				
101v	p101v_1	Jacinthe	Jacinthe	Jacinth	stones									Jacinthe;ruby;or;antimoine rubifie;jacinthe	jour						creusets				
101v	p101v_2	Topasse	Topasse	Topaz	stones									Topasse;pierre ponce calcinee & pulverisee;minium;pierre pulverisee;acier;ponce;verre;caillou a foeu	une part de pierre ponce calcinee & pulverisee & tr avecq trois pars de minium						mortier de ver f acier;mortier de verre				
101v	p101v_3	Vernis	Vernis	Varnish	varnish									Vernis;minium;huile de lin;vernis;ambre jaulne fort pulverise		lin	allemands								
101v	p101v_4	Gomme armoniac	Gomme armoniac	Gum ammoniac	painting									Gomme armoniac;vinaigre;gommes de medecine							estamine	gommes de medecine			
102r	p102r_1	Provisions pour loeuvre de colchos	Provisions pour l’oeuvre de Colchos	Provisions for the work of Colchis	metal process									☿;gros sel;plomb;plombes;vinaigre;bon vinaigre;cotton	lb;pots						cornues;terrines sans plomb;pots non plombes;alembics;pots;lampes;ciseaulx				
102r	p102r_2	Pour le four	Pour le four	For the furnace	metal process						pousses;pied			pierre;terre;fer blanc;fumee;Huile de graine de navete	pousses en quarre;pied	navete					four;cofre;boictes;pots de terre avecq un couvercle;tuyaulx de fer blanc;lampes;fusil				
102r	p102r_3	Ciment royal	Ciment royal	Ciment royal	metal process									Ciment royal;vitriol;salpestre;alum de roche	lb & demye										
102r	p102r_4	Vaisseaulx de verre	Vaisseaulx de verre	Glass vessels	glass process		CONTAINS FIGURE				doigt			verre	petit dos de costeau;plume dholande;travers de doigt		holande				Vaisseaulx de verre;vaisseau de verre;costeau;ampoulles;plume dholande				
102v	p102v_1	Paindre sur cristal ou verre	Paindre sur cristal ou verre	Painting on crystal or glass	painting;glass process					dragon				cristal;verre;huile;azur dacre;laque;sang de dragon;foeille de topasse ou une dor ou dargent;topasse;or;argent			acre								
102v	p102v_2	Infusion danthos ou rosmarin	Infusion d’anthos ou rosmarin	Infusion of anthos or rosemary	medicine								a lombre;au soleil	anthos;rosmarin;huile;premiere substance de vin;substance de vin;eau;vin blanc	jour;jours;infusions;infusion;moys;℥;cuillerees	anthos;rosmarin		Paul tiers	vieulx		bouteille;vaisseau;alenbic;cuillerees	pour les vieulx			
102v	p102v_3	Gect	Gect	Cast	casting		CONTAINS FIGURE							estain;estaing;souldre											
103r	p103r_1	Contre bruslure excellent	Contre bruslure, excellent	Against burns, excellent	medicine						chair;visaige;poil			huile de lin;plus noeufve cire;bois noeuf;eau beniste;premiere eau;nouvelle eau;onguent blanc & doulx;eau;vin;unguent;foeilles de lierre	quart;pater noster;espace que tu diras 8 pater noster;espace de 9 jours;deulx foys le jour	lin;lierre			pouldrier		spatule de bois noeuf;linge mouille;linge deslie	Contre bruslure excellent;ny en mects pas dadvantage Car il te faeroit surcroistre la chair;faict renaistre le poil;ne laisse poinct cicatrice			
103r	p103r_2	Contre la galle des chiens	Contre la galle des chiens	Against dogs’ mange	medicine					chiens				pegue;eau;eau de sublime			Anglois		penseurs			Contre la galle des chiens			
103v	p103v_1	Clistere	Clistere	Enema	medicine					poulet	veines			boyau de poulet							canon	Clistere;veines hemorroidales eminentes ou enflees;clistere			
103v	p103v_2	Gect	Gect	Cast	casting							teston		estaim;soulder;taffetas;sable subtil	espesseur dun teston										
103v	p103v_3	Pour fayre courre les couleurs	Pour fayre courre les couleurs	For making colors run	painting									vinaigre;fiel;verre;sel							bouteille de verre				
103v	p103v_4	Suif doreille	Suif d’oreille	Earwax	medicine						Suif doreille;escume de lurine;teste			Suif doreille;escume de lurine;escume							cureaureille	mal de teste			
103v	p103v_5	Esmauls	Esmauls	Enamels	painting;practical optics								soleil	Esmauls;cristal;verre;eau							chandelle;mirouer de cristal;globe ou bocal de verre				
104r	p104r_1	Pour manger et dissouldre lor tout pur	Pour manger et dissouldre l’or tout pur	For eating away and dissolving entirely pure gold	metal process									or;sel commun;eau fort;argent	heures						matras				
104r	p104r_2	Pour graver sur fer	Pour graver sur fer	For etching on iron	metal process							liard	au foeu;au soleil	fer;verdet;gros sel;sublime;massicot;huile de lin;fer bien net & poly;eau;sel armoniac	℥;liard;deulx fois aultant;grains	lin									
104r	p104r_3	Bonne saulce a colorer lor	Bonne saulce a colorer l’or	Good mixture to color gold	painting;metal process									Soufre;gravelle;sel;terra merita;soufre	aultant dun que daultre;tierce partie										
104r	p104r_4	Argenter sur cuivre et letton	Argenter sur cuivre et letton	For gilding with silver on copper and latten	metal process									Argenter;cuivre;letton;argent;or;dorer;huile de noix;boutteure doulce		noix									
104r	p104r_5	Esmailler une cornaline	Esmailler une cornaline	Enameling a cornaline	painting;stones									Esmailler;cornaline;fleur de froment;vin blanc	heure	froment									
104v	p104v_1	Contre la galle des chiens	Contre la galle des chiens	Against dogs’ mange	medicine					chiens;chiens communs				staphisagrie;blanc dhuile doeufs;huile	demy ℥;℥;quarteron							Contre la galle des chiens			
104v	p104v_2	Pour gect	Pour gect	For casting	casting									cire;cire fondue;eau chaulde;ardille fort doulce;plomb;estaim							moule				
104v	p104v_3	Orfevre	Orfevre	Goldsmith	metal process									escailles dargent pur & dargent dore					Orfevre;archiers						
104v	p104v_4	Espinette jouant toute seule	Espinette jouant toute seule	Spinet playing by itself	household and daily life;tricks and sleight of hand		CONTAINS FIGURE							plumes							horloge		Espinette;cistre;espinette		
105r	p105r_1	Tortues	Tortues	Turtles	animal husbandry					Tortues															
105r	p105r_2	Seicher couleurs	Seicher couleurs	Drying colors	painting									noir a noircir;huile;verdegris											
105r	p105r_3	Painctre	Painctre	Painter	painting									bois;toile					Painctre						
105r	p105r_4	Jardinier	Jardinier	Gardening	cultivation		CONTAINS FIGURE	continued						brin de lin;filasse bien doulce	jours	lin					trancheplume bien tranchant;trencheplume;brin de lin;filasse bien doulce			oeillets	
105v	p105r_4				cultivation				continues		doigts				doigts;despuys la my may;jusques au commancement daougst;Au moys de Janvier	amendiers;mericotons;abricots;perces mericotons									
105v	p105v_4	Rossignol	Rossignol	Nightingale	animal husbandry					Rossignol	main			fer;bois	jour						toile;petite poincte de bois				
105v	p105v_1	Jardinier	Jardinier	Gardening	cultivation					vers			jardin			armols									
105v	p105v_5	Rossignol	Rossignol	Nightingale	animal husbandry					Rossignol;calandres;fourmis;mouton;vers de farine			grange;froid	fourmis avecq de la terre;coeur de mouton hache;oeufs;vers de farine							drap vert;cage				
105v	p105v_2	Fontanier	Fontanier	Fountain maker	tool									plastre recuit;eau;stuc					Fontanier;mouleur						
105v	p105v_3	Prendre rossignols Voy le 15 foeillet cy apres	Prendre rossignols Voy le 15 foeillet cy aprés	Catching nightingales See the 15th folio after this.	animal husbandry					rossignols;rossignol;vers			Le soir et le matin a la fraischeur vers les fontaines & lieulx ombrageulx		pas						mects a pestrir;moulins;chapeau;espingle;engin de petits bastons en croix				
106r	p106r_1	Pour gect	Pour gect	For casting	casting									aspalte est qui se trouve en Allemaigne;excellent sable pour mouler en chassis qui se puisse trouver;argent;or			Allemaigne				chassis				
106r	p106r_2	Faire courre lOr pour gect	Faire courre l’or pour gect	Making gold run for casting	casting					serpens;lesards				Or;or;sublime;fumee;sel armoniac;verdet;borras;salpestre;plomb;or fin;sable a mouler fleurs & feuilles & choses delicates;plastre cru broye;brique;alum de plume;sables;eau de vye;sable;eau de sel armoniac;eau;fer;crocum ferri;plastre de paris;pierre;sucre			paris				chassis;marteau				
106v	p106v_1	Gecter en or	Gecter en or	Casting in gold	casting					chancres;escrevisses;rats;oyseaulx				or;crocum ferri;alum de plume;fer;escaille des chancres & escrevisses							moule;presses de fer				
106v	p106v_3	Tuiles	Tuiles	Tiles	casting					tortues			maisons	Tuiles;tuilles;pierres;gravier;sable;terre aulcunement areneuse	heure						piler;tamis				
106v	p106v_2	Plastre	Plastre	Plaster	casting			continued			ongle		en lieu sec;en temps de pluye	Plastre;pierre;ordure;plastre;charbon;poulssiere;eau;brique;alum de plume;ardille;sable;crocum ferri;or	moys;en bonne quantite						ongle;Pile;tamis;manche;chaulderon;poelonne;chauderon;baston				
107r	p106v_2				casting				continues		doigt			sable;sables	doigt										
107r	p107r_1	Pour prendre lezards et serpents	Pour prendre lezards et serpents	Catching lizards and snakes	casting			continued		lezards;serpents;lezard;serpend;serpent;escrevisses	main		dans leau	laine;linge;sable;plastre pulverise & recuit;tuile;alum de plume;brique;plastre;metaulx;or;crocum ferri;mabre;celuy blanc que v en pouldre que vendent les apotiquaires;crocum ferry	parties;partie;moictie;creusets;jours				preneurs descrevisses;apotiquaires;verriers		verge;filet;main;tenaille;drap de laine;drap;creusets;piler;tamis;mabre;mortier;pilant;pinon;fournaise des verriers				
107v	p107r_1				casting			continued	continues	lucerta;serpent	doigt			eau;bon alum de plume;soye c blanche;duvet;pierre;alum de plume;sable;mabre;tondure;terre bourre des fondeurs de grands ouvraiges;bourre;sable liquide;terre grasse;vini spiritum;vinaigre distille;plastre;brique	doigt	absinthe;vini	france;rouan		fondeurs de grands ouvraiges;apotiquaires		moules;pile;mortier;mabre;tamis;moule			bon alum de plume	
108r	p107r_1				casting				continues					fil du propre metal;fil de fer;dorer;argenter;eau de vye;sable;argent commun;souldure;spat;pierre blanchastre;le plus excellent sable qui se puisse trouver pour plomb estain cuivre argent & or;plomb;estain;cuivre;argent;or;plastre;cuir gras;cuivre et latton fondu;crasse			allemaigne;Auguste		orfevres		fil du propre metal dont ils gectent;fil de fer;ciseau;moule;chassis			spat	
108r	p108r_2	Spalt	Spalt	Spalt	casting			continued			ongle		terre;pierrerie	Spalt;spalt;plastre cuict;pierres;croye de champaigne;eau de sel armoniac;eau	grosseur dune noix	noix	champaigne				ongle;bouteille				
108v	p108r_2				casting				continues		colet;visage			balottes;eau de sel armoniac;eau trouble & nette;eau;eau trouble;sable;metaulx;or;argent;plomb;estaim;Alum de plume;tuile;immundice;briques;alum de plume;mabre;ardille	quart dheure				ceulx qui font des pots;orfevres	te bien grater;douls au toucher	pot;vaisseau de terre;fornaise de ceulx qui font des pots;pots;vaisseau;esponge;chassis;chaulderon;creusol;tuile;charbons;forge des orfevres;countour de briques;fourneau a vent;creusel;pile;mortier;mabre;Pile;pilon;moules;fosse;terrine;baston				
109r	p109r_1	Esbaucher en cire	Esbaucher en cire	Modeling in wax	casting;wax process					cerf	bouche			cire;tourmentine;beurre;suif;buys;os de cerf		buys	Italiens				houtils				
109r	p109r_2	Cire a mouler -	Cire à mouler -	Wax for molding -	casting;wax process									Cire;cire;soufre;cire fondue;beurre							cuillere;crusol;moule				
109r	p109r_3	Mouler cire	Mouler cire	Molding wax	casting;wax process									cire;huile;sable;eau tiede;eau froide;eau de vye							moule				
109r	p109r_4	Souflets de la forge	Souflets de la forge	Bellows of the forge	casting;tool						doigts				doigts						Souflets;forge;tuelles				
