ms-xml/tc/tc_p103v_preTEI.xml,,ms-xml/tcn/tcn_p103v_preTEI.xml,,ms-xml/tl/tl_p103v_preTEI.xml
5 ab,,5 ab,,5 ab
1 add,,1 add,,1 add
1 al,,1 al,,1 al
4 bp,,5 bp,,5 bp
1 cn,,1 cn,,1 cn
3 del,,3 del,,3 del
5 div,,5 div,,5 div
1 env,,1 env,,1 env
2 exp,,2 exp,,2 fr
5 head,,5 head,,5 head
20 lb,,20 lb,,16 m
16 m,,16 m,,4 md
4 md,,4 md,,1 ms
1 ms,,1 ms,,1 root
1 root,,1 root,,6 tl
7 tl,,7 tl,,1 tmp
1 tmp,,1 tmp,,
ms-xml/tc/tc_p104r_preTEI.xml,,ms-xml/tcn/tcn_p104r_preTEI.xml,,ms-xml/tl/tl_p104r_preTEI.xml
5 ab,,5 ab,,5 ab
1 cn,,1 cn,,1 cn
3 del,,2 corr,,1 comment
5 div,,3 del,,3 del
2 env,,5 div,,5 div
3 exp,,2 env,,2 env
5 head,,3 exp,,5 fr
20 lb,,5 head,,5 head
38 m,,20 lb,,38 m
10 ms,,38 m,,10 ms
3 pa,,10 ms,,3 pa
1 root,,3 pa,,1 root
1 tl,,1 root,,1 tl
2 tmp,,1 tl,,2 tmp
,,2 tmp,,
ms-xml/tc/tc_p104v_preTEI.xml,,ms-xml/tcn/tcn_p104v_preTEI.xml,,ms-xml/tl/tl_p104v_preTEI.xml
4 ab,,4 ab,,4 ab
2 al,,2 al,,1 add
1 comment,,4 del,,2 al
4 del,,4 div,,3 comment
4 div,,2 exp,,4 del
2 exp,,1 figure,,1 df
1 figure,,4 head,,4 div
4 head,,21 lb,,1 figure
21 lb,,14 m,,3 fr
14 m,,1 md,,4 head
1 md,,3 ms,,14 m
3 ms,,3 mu,,1 md
3 mu,,2 pro,,3 ms
2 pro,,1 root,,3 mu
1 root,,2 tl,,2 pro
2 tl,,1 tmp,,1 root
1 tmp,,,,2 tl
,,,,1 tmp
ms-xml/tc/tc_p105r_preTEI.xml,,ms-xml/tcn/tcn_p105r_preTEI.xml,,ms-xml/tl/tl_p105r_preTEI.xml
4 ab,,4 ab,,4 ab
1 add,,1 add,,1 al
1 al,,1 al,,7 del
1 comment,,3 corr,,1 df
7 del,,7 del,,4 div
1 df,,1 df,,3 figure
4 div,,4 div,,6 fr
8 exp,,10 exp,,4 head
3 figure,,3 figure,,7 m
4 head,,4 head,,2 ms
25 lb,,25 lb,,1 pa
7 m,,7 m,,1 pro
2 ms,,2 ms,,1 root
1 pa,,1 pa,,4 tl
1 pro,,1 pro,,3 tmp
1 root,,1 root,,
4 tl,,4 tl,,
3 tmp,,3 tmp,,
9 ups,,1 ups,,
ms-xml/tc/tc_p105v_preTEI.xml,,ms-xml/tcn/tcn_p105v_preTEI.xml,,ms-xml/tl/tl_p105v_preTEI.xml
8 ab,,8 ab,,8 ab
2 add,,2 add,,2 add
12 al,,12 al,,14 al
2 bp,,2 bp,,2 bp
3 comment,,2 comment,,2 comment
8 del,,2 corr,,1 corr
6 div,,8 del,,7 del
4 env,,6 div,,6 div
15 exp,,4 env,,4 env
5 head,,16 exp,,9 fr
