folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
105v	p105v_4	Rossignol	Rossignol	Nightingale					Rossignol	main			fer;bois	jour						toile;petite poincte de bois		
105v	p105v_5	Rossignol	Rossignol	Nightingale					Rossignol;calandres;fourmis;mouton;vers de farine			grange;froid	fourmis avecq de la terre;cœur de mouton hache;oeufs;vers de farine							drap vert;cage		
106r	p106r_1	Pour gect	Pour gect	For casting									aspalte est qui se trouve en Allemaigne;argent;or			Allemaigne				chassis		
106r	p106r_2	Faire courre l Or pour gect	Faire courre l’ or pour gect	Making gold run for casting		CONTAINS FIGURE			serpens;lesards				Or;or;sublime;sel armoniac;verdet;borras;salpestre;plomb;or fin;plastre cru broye;brique;alum de plume;eau de vye;eau de sel armoniac;eau;fer;crocum ferri;plastre de paris;pierre;sucre			paris				chassis;marteau		
106v	p106v_1	Gecter en or	Gecter en or	Casting in gold		CONTAINS FIGURE	continued		chancres;escrevisses;rats;oyseaulx;tortues	ongle		maisons;en lieu sec;en temps de pluye	or;crocum ferri;alum de plume;fer;escaille des chancres & escrevisses;Tuiles;terre aulcunement areneuse;tuilles;pierres;gravier;plastre;poulssiere;pierre;eau;brique;ardille;Plastre;charbon	heure;en bonne quantite;moys						moule;presses de fer;tamis;manche;chauldron;poelonne;chauderon;baston;chaulderon;ongle		
107r	p106v_1					CONTAINS FIGURE		continues		doigt				doigt								
107r	p107r_1	Pour prendre lezards et serpents	Pour prendre lezards et serpents	Catching lizards and snakes					lezards;serpents;lezard;serpend;serpent;escrevisses	main		dans leau	laine;linge;plastre pulverise & recuit;tuile;alum de plume;brique;plastre;metaulx;or;crocum ferri;mabre;celuy blanc que v en pouldre que vendent les apotiquaires;crocum ferry	parties;partie;moictie;creusets;jours				preneurs descrevisses;apotiquaires;verriers		verge;filet;main;tenaille;drap de laine;drap;creusets;tamis;mabre;mortier;pinon;fournaise des verriers		
107v	p107v_1							continues	lucerta;serpent	doigt			eau;bon alum de plume;soye c blanche;duvet;pierre;alum de plume;mabre;tondure;terre bourre des fondeurs de grands ouvraiges;bourre;terre grasse;herba;vini spiritum;vinaigre distille;plastre;brique	doigt	absinthe;vini	france;rouan		fondeurs de grands ouvraiges;apotiquaires		moules;mortier;mabre;tamis;moule		
108r	p108r_1												fil du propre metal;fil de fer;dorer;argenter;eau de vye;argent commun;souldure;spat;pierre blanchastre;plomb;estain;cuivre;argent;or;plastre;cuir gras;cuivre et latton fondu;crasse			allemaigne;Auguste		orfevres		fil du propre metal dont ils gectent;fil de fer;ciseau;moule		
108r	p108r_2	Spalt	Spalt	Spalt			continued			ongle		terre;piererie	Spalt;spalt;plastre cuict;pierres;croye de champaigne;eau de sel armoniac;eau	grosseur dune noix	noix	champaigne				ongle;bouteille		
108v	p108r_2					CONTAINS FIGURE	continued	continues		colet;visage			balottes;eau de sel armoniac;eau trouble & nette;eau;eau trouble;metaulx;or;argent;plomb;estaim;Alum de plume;tuile;briques;alum de plume;mabre;ardille	quart dheure				ceulx qui font des pots;orfevres	te bien grater;douls au toucher	pot;vaisseau de terre;fornaise de ceulx qui font des pots;pots;vaisseau;esponge;chassis;chaulderon;creusol;tuile;charbons;forge des orfevres;countour de briques;fourneau a vent;creusel;mortier;mabre;pilon;moules;fosse;terrine;baston		
109r	p109r_1	Esbaucher en cire	Esbaucher en cire	Modelling in wax					cerf	bouche			cire;tourmentine;beurre;suif;buys;os de cerf		buys	Italiens				houtils		
109r	p109r_2	Cire a mouler -	Cire à mouler -	Wax for molding -		CONTAINS FIGURE							Cire;cire;soufre;cire fondue;beurre							cuillere;crusol;moule		
109r	p109r_3	Mouler cire	Mouler cire	Molding wax									cire;huile;eau tiede;eau froide;eau de vye							moule		
109r	p109r_4	Souflets de la forge	Souflets de la forge	Bellows of the forge						doigts				doigts						Souflets;forge		
109r	p109r_5	Serpents a mouler	Serpents à mouler	Snakes for molding			continued		Serpents;grenoille			en lieu frais	son;terre;verre							barrique;bouteille de verre		
109v	p109r_5							continues	grenoille					jours;heures			sathan	suposts				
109v	p109v_1	Crapault	Crapault	Toad					Crapault;grenoille	main		dans de la terre fresche	pissast;terre;pierre syderite;bon vinaigre;cotton;cire fondue		orties					cordon retors de la sye	remede	
109v	p109v_2	Fayre mourir serpents pour mouler	Fayre mourir serpents pour mouler	Killing snakes for molding					serpents;lezards			en un jardin A lair	eau fort;bon vinaigre;eau de vye;terre;fil darchal	goutte						espingle;molle;bouteille;pipe;pippe;fil darchal		
110r	p110r_1	Mouler	Mouler	Molding																		
110r	p110r_2	Rocher & grotte	Rocher & grotte	Rock & grotto								grotte	Rocher;marchasites blanches & jaulnes;mines;mine;roche;colle forte;eau									
110r	p110r_3	Serpens	Serpens	Snakes			continued		Serpens;serpens;crapault	pied;doitgts;main		terre;dans la terre fresche & humide	terre;terre fresche & humide	doitgts;quart dheure			celuy qui maprist a les mouler			pied;costeau	partie infectee	
110v	p110r_3							continues		pied										pied		
110v	p110v_1	Moules	Moules	Molds									huile dolif;eau froide;huile;eau chaulde;eau		olif					Moules;moules		
110v	p110v_2	Huile de froment	Huile de froment	Wheat oil		CONTAINS FIGURE			papillon				Huile de froment;fer;huile;beurre;huile de froment		froment;fleur de pensee					lame de fer rougie au foeu		
110v	p110v_3	Gect de plomb et estaim	Gect de plomb et estaim	Cast of lead and tin		CONTAINS FIGURE			serpents				plomb;estaim;estaim de glace;rousine;plomb fin et noeuf;estaim fin;plomb fin	quarte partie de plomb sur trois destaim;lb;onces;℥								
111r	p111r_1	Recuire les moules	Recuire les moules	Reheating molds																moules;chassis;moules de noyau;moules de chassis		
111r	p111r_2	Fumee de letton	Fumée de letton	Latten smoke									Fumee de letton;letton;g crasse jaulne							moules a gecter letton;moules		
111r	p111r_3	Pour le cuivre rouge	Pour le cuivre rouge	For red copper									cuivre rouge;estaing fin									
111r	p111r_4	Terre ardille	Terre ardille	Clay earth		CONTAINS FIGURE				mains		en lieu humide	Terre ardille;eau;plomb						ne sattaque point aulx mains	moules;mains;lame de plomb		
111r	p111r_5	Fil de fer	Fil de fer	Iron wire									Fil de fer;fil de fer;celuy de letton	gros comme ffisselle de moing;delie p comme grosse corde despinette pour les petits ouvrages						moules;aiguilles		espinette
111v	p111v_1	Eau de sel armoniac	Eeau de sel armoniac	Water of sal ammoniac						langue			Eau de sel armoniac;chastaignes;sel armoniac pulverise;eau;salee	grosseur de deulx chastaignes;pot	chastaignes				a la langue tu trouve leau mediocrement salee	pot;langue		
111v	p111v_2	Sanguine	Sanguine	Sanguine									Sanguine;plomb;estaim;sanguine							sayes		
111v	p111v_3	Chancre et escrevisse	Chancre et escrevisse	Crab and crayfish					Chancre;escrevisse													
111v	p111v_4	Lesards	Lesards	Lizards					Lesards;lesards;lesardes	doigts;ongle;chair			argent;or;metal							doigts;ongle		
111v	p111v_5	Composition de sable	Composition de sable	Composition of sand						mains			plastre;brique;alum de plume;alum;eau;tuiles pilees	crusols						crusols;tamis;mains;moules		
112r	p112r_1	Pour destremper le sable	Pour destremper le sable	To soak sand		CONTAINS FIGURE							eau;eau commune;plombee;boys;huile;plume							conche;moules;broc;escuelle plombee;cueillere de boys;escuelle;pinceaulx a huile;tuiaulx de plume		
112r	p112r_2	Decoction des sables	Decoction des sables	Decoction of sands																		
112r	p112r_3	Pour mouler en noyau Mixtion du sable	Pour mouler en noyau Mixtion du sable	Molding en noyau. Mixture of sand		CONTAINS FIGURE				mains			plastre;alum de plume;brique	parties						tamis;mains;mortier		
112r	p112r_4	Fayre mourir lanimal a mouler	Fayre mourir l’animal à mouler	Killing the animal for molding			continued		grenoilles;serpents deau			eau	verre;son;terre fresche & humide;bon vinaigre;urine;vinaigre	demye heure						bouteille de verre;barrique;bouteille ou vaisseau nect		
112v	p112r_4							continues	pouls;lesards				eau de vye;vinaigre;urine;cire							verre		
112v	p112v_1	MoulerFayre le plant et disposition de lanimal	Mouler Fayre le plant et disposition de l’animal	Mouler Making the arrangement and disposition of the animal		CONTAINS FIGURE	continued		serpent	mains;poulce			terre grasse;ardille;terre;fil de fer;acier;fer;rouille	poulce				pastissiers		mains;baston rond duquel les pastissiers se servent;aiguille;eguille;poincte de fil de fer;poincte;molletes;poinctes de fil de fer;poinctes;aiguille dacier fine;poinctes de fer;poincte de fer;pointes;planche ou table solide		
113r	p112v_1					CONTAINS FIGURE		continues	commun serpent;serpent	poulces			fil de fer;cordes despinettes;celuy de latton;cire;grain de mil;terre;eau de vye;ardille;eau;cotton	aussy gros de cire quun grain de mil;poulces	mil					poinctes;poincte;costeau;petit instrument recourbe;moule;pinceau		espinettes;mandorre
113r	p113r_1	Destremper le sable et mouler le premier gect	Destremper le sable et mouler le premier gect	Wetting sand and molding the first cast			continued						terre;plombee							escuelle de terre plombee;moule		
113v	p113r_1					CONTAINS FIGURE		continues				fontaine	eau commune de fontaine;œuf;eau de sel Armoniac;plomb;estaim;or;argent;eau;bois;moustarde claire;ardille;terre;œufs;eau de sel armoniac;brouet de puree;eau damidon;amydon	Aultant quil pourroit tenir dans un œuf;quart dheure;œufs				femmes		escuelles de diverse grandeur qui ayent un bec;escuelle;cueillere de bois;moule;cousteau;cuillere;pallete;moules		mandorre
113v	p113v_1	Second gect	Second gect	Second cast																		
114r	p114r_1	Second gect	Second gect	Second Cast		CONTAINS FIGURE	continued		lesard;serpent;pourceau				poil de pourceau;salive;eau claire;eau;huile;cordes de cistre;cire;fil de fer chault	espace dun pater noster						moule;costeau;trancheplume;molle;sayetes de poil de pourceau;pinceau;poinctes delicates de fil de cist cordes de cistre;tenailles plattes;poinctes;poincte		cistre
114v	p114r_1					CONTAINS FIGURE		continues	chancres				terre;ardille;eau de vye;eau de viye;eau;eau chaulde;huile;linge;pain	quart dheure;jour;moys;nuict					puants	molle;pinceau;moule;costeau;moles;moules;crampons;linge rude;ciseaulx		mandorre
115r	p114r_1				left-top	CONTAINS FIGURE		continues					metal;fil de fer							moule;crampons;molles		mandorre
115r	p115r_1	Faire le gect recuire les moules & Advertissement sur tout ce que dessus/-/	Faire le gect, recuire les moules, &c Advertissement sur tout ce que dessus|-|	Make the cast, reheat the molds, &cNote about everything above|-|		CONTAINS FIGURE			serpent				urine;vinaigre;eau;ardille;alum de plume;or;argent;plomb;estaing	ligne						moules;moule;petite poincte		
115r	p115r_2	Animal hors de despouille	Animal hors de despouille	Animal after release		CONTAINS FIGURE			serpent				vif argent;cendre;os brusle							moule		
115r	p115r_3	Recuite de moules	Recuite de moules	Reheating molds		CONTAINS FIGURE														moules;molle;crampons		
115v	p115v_1	Gect destaim	Gect d’estaim	Cast of tin						main			estaim;plomb;estaim fin;estain alie;estaim de glace;plomb allie destain;estain allie de plomb;metalline;argent	quarte partie					chaudelet de telle sorte que tu le puisse tenir a la main	moule;main		
115v	p115v_2	Pour donner vent au moule	Pour donner vent au moule	For giving vent to the mold									ardile							moule;fil;eguille		
115v	p115v_3	Recuire les moules a noyau	Recuire les moules à noyau	Reheating the noyau molds		CONTAINS FIGURE	continued					vent ou froid	briques;estain;argent	demye heure				ferriers		moules a noyau;moules;crampons;forge;petit souflet;moule;four de reverberation;moules recuits;moules des ferriers		
116r	p115v_3					CONTAINS FIGURE		continues					cendre;briques							moules a noyau;moules a chassis;grille		
116r	p116r_1	Mouler bouquets herbes et fleurs	Mouler bouquets, herbes et fleurs	Molding bouquets, plants and flowers					serpents				eau de vye bonne							moule de sable destrempe;moules		
116r	p116r_2	Mouler de en noyau de mesme sable images de cire ou medailles de plomb et semblable	Mouler de en noyau de mesme sable images de cire ou medailles de plomb et semblable	Molding de en noyau with the same sand, wax images or lead medals and suchlike									cire;plomb;huile dolif;huile;eau vye;huilee;eau;plastre;matton;alum destrempe;ardile;huilent;eau de vye		olif					moule;molle		mandorle
116r	p116r_3	Gect pour or et argent	Gect pour or et argent	Casting for gold and silver									or;argent							moules;moule		
116r	p116r_4	Moyen desmouler desmailler des foeilles d or e roses dor fort subtilles et aultres	Moyen desmouler d'esmailler des foeilles d or e roses d'or fort subtilles et aultres	A way to unmold enamel gold very delicate gold rose leaves and others									esmailler;or;souldes;lames dargent;esmail;esmaille;eau dfort;argent		roses;rose							
116v	p116v_1	Mouler serpents en tout temps	Mouler serpents en tout temps	Molding snakes in all weathers					serpents;serpent			en tout temps	terre;fiens;plastre commun;cire;metal							barriques pleines de terre & couvertes de fiens;moules		
116v	p116v_2	Mixture destain et de plomb	Mixture d’estain et de plomb	Mixture of tin and lead						doigt			estain;plomb;estaim fin;rousine;estain de glace;metal;eau;estaim;argent;or	pars;grains;lb & demye ou deulx;la grosseur dune avelane avecq sa coquille;jusques a ce que tu puisses tenir le bout du doigt dans le gect sans te brusler	avelane				sans te brusler	creuset;moule;poincte;bout du doigt		
116v	p116v_3	Gect pour cuivre et letton	Gect pour cuivre et letton	Cast for copper and latten					mulots				cuivre;letton;cuivre rouge;sel armoniac;vieulx cuir;cuir noeuf;pareures des pieds de mulots;sel commun;salpestre;estaim fin;calamine	quart								
117r	p117r_1	Moyen de mouler les fleurs et herbes	Moyen de mouler les fleurs et herbes	A means of molding flowers and plants		CONTAINS FIGURE			serpens;serpents	doigts			eau;vin;cire;fil de fer;ardille;bonne eau de vye;fer;terre;eau de vye;eau de sel armoniac parmy la commune;alum de plume	doigts						bouteille deau;moule;pinceau;queue de fer;pied de cire;petits bastons;quille de cire;fil et;esguille;Moule en noyau		mandorre;mandorle
117v	p117v_1	Pour faire sortir la cendre des moules des fleurs et herbes	Pour faire sortir la cendre des moules des fleurs et herbes	To make the ashes of flowers and plants leave molds		CONTAINS FIGURE			oiseau;serpent				cendre;argent vif;vif argent;metaulx;argent pou vif;os calcines de lanimal;☿;charbon;huile de soufre & de tourmentine;soulde;crasse;fil de fer;cotton		asperge					moules;moule;filiere;fil de fer entourne de cotton;broisse doulce;pinceau coupe		
117v	p117v_2	Marguerites	Marguerites	Daisies									or;esmailler;esmailer;esmail		Marguerites							
117v	p117v_3	Sable qui ha servi	Sable qui ha servi	Sand that was used									alum de plume;brique									
117v	p117v_4	Mouler a noyau figures de cire ou medailles de plomb	Mouler à noyau figures de cire ou medailles de plomb	Molding en noyau figures of wax or medals of lead									cire;plomb;huile;eau de vye;eau;plastre;brique;alum;eau froide;sel armoniac							pinceau		
117v	p117v_5	Sang des serpens	Sang des serpens	Blood of snakes					serpens;serpent				Sang des serpens;sang;vif argent							moule		
118r	p118r_1	Escargots	Escargots	Snails					Escargots;chancres			mer;grottes	eau fort;nacre de perle									
118r	p118r_2	Pour oster les baves ou barbes des choses moulées à noyau	Pour oster les baves ou barbes des choses moulées à noyau	For removing flaws and flashing from things molded en noyau									bon plastre;cendre							moules;presses;tables;vaisseau plein de cendre ou sable;burin;chaple;petit ciseau		
118r	p118r_3	Pour grottes	Pour grottes	For grottos								grottes;forests;grotte	vieulx seps de vigne;pierres faictes deau;stuf;charbon;composition destaim & de letton fin;papier pille;verre pille;liege;parchemin chaufe;corail blanc;bois fantasques;funges;potirons des arbres;estaim de glace;marchasites;terre;colle;colle forte;mines;marchasites sulfurees;estain de glace;rosette		vigne;funges;potirons					marteau		
